# Time,     Fx,      Fy,      Fz,      Mx,      My,      Mz						
# (s)       (N)      (N)      (N)      (N-m)    (N-m)    (N-m)						
300	0	      0	        0       0       0	0
300.01	0             0	        0	0	0	0
301.75	-492.3075377	-123.0768844	0	0	0	0
301.76	-492.3075377	-123.0768844	0	0	0	0
301.77	-492.3075377	-123.0768844	0	0	0	0
301.78	-615.3844221	        0	0	0	0	0
301.79	-615.3844221    	0	0	0	0	0
301.8	-492.3075377    	0	0	0	0	0
301.81	-492.3075377    	0	0	0	0	0
301.82	-492.3075377	-123.0768844	0	0	0	0
301.83	-492.3075377	-123.0768844	0	0	0	0
301.84	-492.3075377	-123.0768844	0	0	0	0
301.85	-492.3075377    	0	0	0	0	0
301.86	-492.3075377    	0	0	0	0	0
301.87	-492.3075377    	0	0	0	0	0
301.88	-492.3075377    	0	0	0	0	0
301.89	-369.2306533	-123.0768844	0	0	0	0
301.9	-369.2306533	-123.0768844	0	0	0	0
301.91	-492.3075377	-123.0768844	0	0	0	0
301.92	-492.3075377    	0	0	0	0	0
301.93	-492.3075377	        0	0	0	0	0
301.94	-492.3075377    	0	0	0	0	0
301.95	-492.3075377    	0	0	0	0	0
301.96	-492.3075377    	0	0	0	0	0
301.97	-492.3075377    	0	0	0	0	0
301.98	-246.1537688     	0	0	0	0	0
301.99	-246.1537688    	0	0	0	0	0
302	-492.3075377    	0	0	0	0	0
302.01	-738.4613065    	0	0	0	0	0
302.02	-615.3844221    	0	0	0	0	0
302.03	-369.2306533	123.0768844	0	0	0	0
302.04	-369.2306533	246.1537688	0	0	0	0
302.05	-615.3844221	246.1537688	0	0	0	0
302.06	-615.3844221	123.0768844	0	0	0	0
302.07	-615.3844221	-123.0768844	0	0	0	0
302.08	-492.3075377     	0	0	0	0	0
302.09	-492.3075377 	246.1537688	0	0	0	0
302.1	-492.3075377	246.1537688	0	0	0	0
302.11	-615.3844221    	0	0	0	0	0
302.12	-492.3075377	-123.0768844	0	0	0	0
302.13	-492.3075377    	0	0	0	0	0
302.14	-492.3075377	246.1537688	0	0	0	0
302.15	-492.3075377	246.1537688	0	0	0	0
302.16	-615.3844221	123.0768844	0	0	0	0
302.17	-615.3844221	123.0768844	0	0	0	0
302.18	-492.3075377	123.0768844	0	0	0	0
302.19	-369.2306533	246.1537688	0	0	0	0
302.2	-492.3075377	246.1537688	0	0	0	0
302.21	-615.3844221	123.0768844	0	0	0	0
302.22	-492.3075377    	0	0	0	0	0
302.23	-369.2306533	-123.0768844	0	0	0	0
302.24	-492.3075377	123.0768844	0	0	0	0
302.25	-615.3844221	246.1537688	0	0	0	0
302.26	-615.3844221	246.1537688	0	0	0	0
302.27	-369.2306533	246.1537688	0	0	0	0
302.28	-246.1537688	246.1537688	0	0	0	0
302.29	-246.1537688	246.1537688	0	0	0	0
302.3	-369.2306533	246.1537688	0	0	0	0
302.31	-492.3075377	123.0768844	0	0	0	0
302.32	-738.4613065	123.0768844	0	0	0	0
302.33	-861.538191	123.0768844	0	0	0	0
302.34	-492.3075377    	0	0	0	0	0
302.35	123.0768844	123.0768844	0	0	0	0
302.36	246.1537688	615.3844221	0	0	0	0
302.37	-492.3075377	1230.768844	0	0	0	0
302.38	-1107.69196	1107.69196	0	0	0	0
302.39	-738.4613065	246.1537688	0	0	0	0
302.4	       0	-369.2306533	0	0	0	0
302.41	       0	-123.0768844	0	0	0	0
302.42	-615.3844221	246.1537688	0	0	0	0
302.43	-861.538191	369.2306533	0	0	0	0
302.44	-123.0768844	369.2306533	0	0	0	0
302.45	246.1537688	615.3844221	0	0	0	0
302.46	-246.1537688	492.3075377	0	0	0	0
302.47	-738.4613065	123.0768844	0	0	0	0
302.48	-492.3075377	-246.1537688	0	0	0	0
302.49	-246.1537688     	0	0	0	0	0
302.5	-738.4613065	738.4613065	0	0	0	0
302.51	-738.4613065	1230.768844	0	0	0	0
302.52	       0	1107.69196	0	0	0	0
302.53	123.0768844	615.3844221	0	0	0	0
302.54	-615.3844221	246.1537688	0	0	0	0
302.55	-861.538191	0	0	0	0	0
302.56	-246.1537688	246.1537688	0	0	0	0
302.57	492.3075377	615.3844221	0	0	0	0
302.58	246.1537688	738.4613065	0	0	0	0
302.59	-369.2306533	369.2306533	0	0	0	0
302.6	-861.538191	123.0768844	0	0	0	0
302.61	-984.6150754	369.2306533	0	0	0	0
302.62	-492.3075377	492.3075377	0	0	0	0
302.63	123.0768844	492.3075377	0	0	0	0
302.64	123.0768844	738.4613065	0	0	0	0
302.65	-369.2306533	615.3844221	0	0	0	0
302.66	-369.2306533	246.1537688	0	0	0	0
302.67	-123.0768844	123.0768844	0	0	0	0
302.68	-123.0768844	738.4613065	0	0	0	0
302.69	-246.1537688	1107.69196	0	0	0	0
302.7	0	738.4613065	0	0	0	0
302.71	123.0768844	0	0	0	0	0
302.72	-123.0768844	-123.0768844	0	0	0	0
302.73	-123.0768844	369.2306533	0	0	0	0
302.74	246.1537688	861.538191	0	0	0	0
302.75	123.0768844	1107.69196	0	0	0	0
302.76	-861.538191	1353.845729	0	0	0	0
302.77	-1107.69196	1476.922613	0	0	0	0
302.78	0	984.6150754	0	0	0	0
302.79	1353.845729	246.1537688	0	0	0	0
302.8	1230.768844	-123.0768844	0	0	0	0
302.81	-369.2306533	0	0	0	0	0
